event_id,timestamp,sender_email,recipient_email,source_ip,subject_line,email_body_length,classification_level
5cf948fc-d4de-4224-b5f1-e4037451fea6,2025-12-19 04:51:29.280019,joseph.rivera@yahoo.com,cummings@agency.gov,199.192.232.135,FOUO: Tough end.,3627,UNCLASSIFIED
ca050ee4-2bd1-40d5-ba5c-999a74495f67,2026-01-05 04:49:35.651525,kristy.chambers@navy.mil,matthews@agency.gov,35.40.117.71,DoD Policy Update: Writer quickly stay.,3034,UNCLASSIFIED
cb662503-1c41-4d43-9279-0ec0e4e1d4da,2025-12-20 22:02:19.829447,larry.baker@army.mil,conley@agency.gov,18.70.76.181,Timesheet: Paper thousand consider.,986,UNCLASSIFIED
3a62da72-00e9-4e5a-83af-1938d92a6750,2025-12-18 08:58:01.280127,william.johnson@mail.mil,perez@agency.gov,126.240.100.67,Travel Authorization: Area together wish stuff.,856,UNCLASSIFIED
509ad6a1-1542-434c-8468-3862609c1d0f,2026-01-03 16:36:04.141518,michael.green@gmail.com,ramirez@agency.gov,105.90.66.72,Timesheet: System TV.,4748,UNCLASSIFIED
40061fa8-5fa0-413a-9374-ee2ef475ab44,2026-01-03 16:27:08.281587,michael.austin@gmail.com,murphy@agency.gov,206.177.196.3,CONFIDENTIAL: Suddenly hotel.,3368,UNCLASSIFIED
940e9726-ab4c-4c2b-bbee-55c440d67b6f,2025-12-11 11:09:33.368494,vincent.martin@gmail.com,brown@agency.gov,128.85.29.177,Travel Authorization: Economic us drive.,114,UNCLASSIFIED
fccaac88-1aa6-43fb-bf81-c148cbe92348,2025-12-08 03:58:11.193757,madison.king@navy.mil,hall@agency.gov,95.38.127.214,Timesheet: Write health indeed.,1007,UNCLASSIFIED
ab6f0418-be1b-41d1-a794-7df939b8e231,2025-12-22 02:49:00.744452,timothy.madden@yahoo.com,hicks@agency.gov,22.9.113.7,Travel Authorization: Win along.,4520,UNCLASSIFIED
ff8b8efa-ab70-41f2-9adc-0e52adfff55a,2026-01-04 11:49:38.203319,robert.kane@yahoo.com,gaines@agency.gov,58.252.58.209,CONFIDENTIAL: Street.,911,UNCLASSIFIED
532b660f-b888-4ba3-b262-c13c0c9d50d9,2025-12-13 13:54:46.551993,valerie.marquez@navy.mil,carr@agency.gov,223.218.11.62,CONFIDENTIAL: Job type.,3323,UNCLASSIFIED
27e961df-dc35-4bfd-bcb2-6f5a406b5e85,2025-12-14 15:02:06.125229,cynthia.stokes@army.mil,ray@agency.gov,50.136.134.240,Travel Authorization: While consumer.,4166,UNCLASSIFIED
14661855-870d-4f5b-a56c-91c0f4577115,2025-12-16 07:16:20.237673,julie.townsend@army.mil,daniels@agency.gov,119.11.147.125,DoD Policy Update: Treat man.,955,UNCLASSIFIED
2eacedab-a37d-4372-80f1-2b4345dbda2f,2026-01-02 06:21:22.105450,elizabeth.cain@mail.mil,rodriguez@agency.gov,139.150.197.53,Timesheet: Front.,865,UNCLASSIFIED
fe0db8b1-be4c-4a92-9381-ce7b33444227,2025-12-13 14:05:25.338514,rachel.wilson@yahoo.com,suarez@agency.gov,178.162.248.143,ACTION REQUIRED: URGENT WIRE TRANSFER,573,UNKNOWN
1749078b-7459-42b7-bc0e-f7b83c10145a,2025-12-23 08:38:52.897200,autumn.weaver@gmail.com,bishop@agency.gov,8.203.158.233,CONFIDENTIAL: Field name enter.,1136,UNCLASSIFIED
23d2e3fc-6fe1-4254-bd36-b5df633a47f0,2025-12-11 07:51:45.942496,karen.bowen@gmail.com,jones@agency.gov,29.244.133.29,FOUO: Response.,1484,UNCLASSIFIED
58e4a559-b85a-4bbe-9aba-a671f1e6154c,2026-01-04 05:35:59.188328,joseph.boyer@army.mil,casey@agency.gov,213.106.102.56,CONFIDENTIAL: Away mean.,947,UNCLASSIFIED
1ff4eb56-d06e-4bbb-ade2-da718467fa9d,2025-12-22 08:21:32.061691,alison.vasquez@gmail.com,humphrey@agency.gov,64.251.35.183,Timesheet: Scientist result own.,3632,UNCLASSIFIED
a984d10e-c544-47f4-af84-19c5fd7fd3d6,2026-01-06 03:47:57.098354,luis.miller@navy.mil,schneider@agency.gov,74.71.234.140,DoD Policy Update: Well collection.,2813,UNCLASSIFIED
a4b336f4-213b-4ee8-a54d-817b092cc22f,2025-12-13 05:14:20.809872,jeffrey.combs@gmail.com,gregory@agency.gov,56.48.84.227,ACTION REQUIRED: VERIFY ACCOUNT,2810,UNKNOWN
41993374-ccd4-487f-9df3-3f29e88c5c6e,2025-12-24 11:37:57.403494,kevin.torres@gmail.com,patel@agency.gov,216.85.216.196,FOUO: History seat opportunity letter.,1715,UNCLASSIFIED
